"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Pitted Fruits",20809,"Vegetable Products",2,47188910,2019
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Fruits",20810,"Vegetable Products",2,1531822573,2019
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,10616107,2019
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,633868,2019
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Dried Fruits",20813,"Vegetable Products",2,4581894,2019
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,228566,2019
"Coffee, tea, mate and spices",209,"Coffee",20901,"Vegetable Products",2,4152851,2019
"Coffee, tea, mate and spices",209,"Tea",20902,"Vegetable Products",2,1014937,2019
"Coffee, tea, mate and spices",209,"Maté",20903,"Vegetable Products",2,302,2019
"Coffee, tea, mate and spices",209,"Pepper",20904,"Vegetable Products",2,244929,2019
"Coffee, tea, mate and spices",209,"Vanilla",20905,"Vegetable Products",2,321721,2019
"Coffee, tea, mate and spices",209,"Cinnamon",20906,"Vegetable Products",2,20484,2019
"Coffee, tea, mate and spices",209,"Cloves",20907,"Vegetable Products",2,557,2019
"Coffee, tea, mate and spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,8000,2019
"Coffee, tea, mate and spices",209,"Spice Seeds",20909,"Vegetable Products",2,349011,2019
"Coffee, tea, mate and spices",209,"Spices",20910,"Vegetable Products",2,698891,2019
"Cereals",210,"Wheat",21001,"Vegetable Products",2,364432,2019
"Cereals",210,"Rye",21002,"Vegetable Products",2,78243,2019
"Cereals",210,"Barley",21003,"Vegetable Products",2,172317,2019
"Cereals",210,"Oats",21004,"Vegetable Products",2,106541,2019
"Cereals",210,"Corn",21005,"Vegetable Products",2,17148131,2019
"Cereals",210,"Rice",21006,"Vegetable Products",2,213531,2019
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,1977,2019
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,249010,2019
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Wheat Flours",21101,"Vegetable Products",2,6340114,2019
