"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Trade Value"
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",1030199,"Fish live, except trout, eel or carp",1153
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",1030212,"Salmon fresh or chilled, whole",7403
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",1030223,"Sole, fresh or chilled, whole",26350
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",1030232,"Tuna(yellowfin) fresh or chilled, whole",1268656
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",1030264,"Mackerel, fresh or chilled, whole",705
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",1030269,"Fish nes, fresh or chilled, whole",983738
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030310,"Salmon, Pacific, frozen, whole",64428
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030322,"Salmon Atlantic or Danube, frozen, whole",23208
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030329,"Salmonidae, nes,frozen, whole",16884
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030331,"Halibut, frozen, whole",1216
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030333,"Sole, frozen, whole",70723
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030339,"Flatfish except halibut, plaice or sole, frozen, whol",40788.00000000001
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030341,"Tunas(albacore,longfin), frozen, whole",680121
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030342,"Tunas(yellowfin) frozen, whole",7673596
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030343,"Skipjack,stripe-bellied bonito, frozen, whole",581792
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030349,"Tunas nes, frozen, whole",935041
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030360,"Cod, frozen, whole",2041
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030371,"Sardines,brisling,sprats, frozen, whole",2736986
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030374,"Mackerel, frozen, whole",1527165
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030376,"Eels, frozen, whole",6369
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030377,"Sea bass, frozen, whole",3472
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030378,"Hake, frozen, whole",2066
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030379,"Fish nes, frozen, whole",810349
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030380,"Fish livers and roes, frozen",85000
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",1030410,"Fish fillet or meat, fresh or chilled, not liver, roe",1245866.9999999998
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",1030420,"Fish fillets, frozen",25704542
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",1030490,"Fish meat & mince, except liver, roe & fillets, froze",1245255
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1030530,"Fish fillets, dried, salted or in brine, not smoked",2070
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1030541,"Salmon, smoked, including fillets",626416
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1030542,"Herrings, smoked, including fillets",9518
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1030549,"Smoked fish & fillets other than herrings or salmon",25304
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1030551,"Cod dried, whether or not salted but not smoked",11.000000000000002
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1030559,"Dried fish, other than cod, not smoked",125754
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1030561,"Herrings, salted or in brine, not dried or smoked",710
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1030569,"Fish nes, salted or in brine, not dried or smoked",44832
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",1030611,"Rock lobster and other sea crawfish, frozen",72266
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",1030612,"Lobsters (Homarus) frozen",43196
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",1030613,"Shrimps and prawns, frozen",10640746
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",1030614,"Crabs, frozen",294997
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",1030619,"Crustaceans nes, frozen,",39564
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",1030622,"Lobsters (Homarus), not frozen",26855.999999999996
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030739,"Mussels, frozen, dried, salted or in brine",8434
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030741,"Cuttle fish, squid, live, fresh or chilled",6342.000000000001
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030749,"Cuttle fish, squid, frozen, dried, salted or in brine",281034
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030751,"Octopus, live, fresh or chilled",71487
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030759,"Octopus, frozen, dried, salted or in brine",77456
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030760,"Snails, edible (except sea snails)",121
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030791,"Aquatic invertebrates nes, fresh or chilled, live",7156.000000000001
