"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",1666224
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20905,"Vanilla",52578
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",333019
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20907,"Cloves",33790
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",1364423
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",142428
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",6159066
2,"Vegetable Products",210,"Cereals",21001,"Wheat",278
2,"Vegetable Products",210,"Cereals",21004,"Oats",6480
2,"Vegetable Products",210,"Cereals",21005,"Corn",3723
2,"Vegetable Products",210,"Cereals",21006,"Rice",2479874
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",27912
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",18022
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",5760058.000000001
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",1843061
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,"Cereal Meal and Pellets",107535
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,"Processed Cereals",2332293
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21105,"Potato Flours",1496
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",804628
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21107,"Malt",164230
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",301507
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21109,"Wheat Gluten",3673
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21201,"Soybeans",45443
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21202,"Ground Nuts",33902
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21206,"Sunflower Seeds",122210
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21207,"Other Oily Seeds",5419346
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21208,"Oil Seed Flower",1072
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21209,"Sowing Seeds",12618580
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21210,"Hops",70
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21211,"Perfume Plants",7904513
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21212,"Locust beans, seaweed, sugar beet, cane, for food",783929
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21213,"Cereal Straws",3494
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21301,"Insect Resins",191384
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21302,"Vegetable Saps",3088283
2,"Vegetable Products",214,"Vegetable plaiting materials",21401,"Vegetable Plaiting Materials",15429
2,"Vegetable Products",214,"Vegetable plaiting materials",21404,"Other Vegetable Products",365530
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31501,"Pig and Poultry Fat",10570
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31502,"Bovine, Sheep, and Goat Fat",739607.9999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31504,"Fish Oil",1394893
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31505,"Wool Grease",44230
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31507,"Soybean Oil",9549788
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31508,"Ground Nut Oil",32
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31509,"Pure Olive Oil",50579.00000000001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31510,"Olive Oil",6440
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31511,"Palm Oil",130268419
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31512,"Seed Oils",174412
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31513,"Coconut Oil",26425627.000000004
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31514,"Rapeseed Oil",200
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31515,"Other Pure Vegetable Oils",210219
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31516,"Other Vegetable Oils",431239
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31517,"Margarine",11831802
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31518,"Inedible Fats and Oils",443
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31519,"Stearic Acid",205407
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31520,"Glycerol",21254
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31521,"Waxes",3725
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41601,"Sausages",13642535
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41602,"Other Prepared Meat",8395000
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41604,"Processed Fish",29455834
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41605,"Processed Crustaceans",798332
4,"Foodstuffs",417,"Sugars and sugar confectionery",41701,"Raw Sugar",93463435
4,"Foodstuffs",417,"Sugars and sugar confectionery",41702,"Other Sugars",955616.0000000001
4,"Foodstuffs",417,"Sugars and sugar confectionery",41703,"Molasses",1517101
4,"Foodstuffs",417,"Sugars and sugar confectionery",41704,"Confectionery Sugar",16220075
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41801,"Cocoa Beans",1323333
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41802,"Cocoa Shells",472
