"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20814,"Citrus and Melon Peels",55234
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",24202981
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",1821832
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20903,"Maté",67712
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",2675042
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20905,"Vanilla",47107.99999999999
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",1228387
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20907,"Cloves",121572
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",127446
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",849072
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",2463202
2,"Vegetable Products",210,"Cereals",21001,"Wheat",59112413
2,"Vegetable Products",210,"Cereals",21003,"Barley",15207
2,"Vegetable Products",210,"Cereals",21004,"Oats",38386
2,"Vegetable Products",210,"Cereals",21005,"Corn",178858032
2,"Vegetable Products",210,"Cereals",21006,"Rice",70300318
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",11265
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",1084323
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",4841291
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",5418414
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,"Cereal Meal and Pellets",2782347
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,"Processed Cereals",6181938
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21105,"Potato Flours",577047
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",388521
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21107,"Malt",9659860
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",8438719
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21109,"Wheat Gluten",1168598
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21201,"Soybeans",94482417.99999999
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21202,"Ground Nuts",5013877
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21204,"Linseed",312823
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21205,"Rapeseed",34044.00000000001
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21206,"Sunflower Seeds",517249
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21207,"Other Oily Seeds",4394450
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21208,"Oil Seed Flower",31728
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21209,"Sowing Seeds",13490350
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21210,"Hops",149360
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21211,"Perfume Plants",1983246
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21212,"Locust beans, seaweed, sugar beet, cane, for food",404245
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21213,"Cereal Straws",5652
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21214,"Forage Crops",84587
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21301,"Insect Resins",754491
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21302,"Vegetable Saps",5393545
2,"Vegetable Products",214,"Vegetable plaiting materials",21401,"Vegetable Plaiting Materials",24090
2,"Vegetable Products",214,"Vegetable plaiting materials",21404,"Other Vegetable Products",781981
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31501,"Pig and Poultry Fat",9261
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31503,"Lard",10
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31504,"Fish Oil",481518
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31505,"Wool Grease",125213
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31506,"Other Animal Fats",38
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31507,"Soybean Oil",9112218
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31508,"Ground Nut Oil",13224
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31509,"Pure Olive Oil",7449914
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31510,"Olive Oil",419854
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31511,"Palm Oil",6819833
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31512,"Seed Oils",6401177
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31513,"Coconut Oil",2023335
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31514,"Rapeseed Oil",1325666
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31515,"Other Pure Vegetable Oils",1634524
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31516,"Other Vegetable Oils",3680041
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31517,"Margarine",11653148
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31518,"Inedible Fats and Oils",1217118
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31519,"Stearic Acid",2152601
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31520,"Glycerol",435424.00000000006
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31521,"Waxes",201113
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41601,"Sausages",9137770
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41602,"Other Prepared Meat",23352846
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41603,"Animal Extracts",1557
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41604,"Processed Fish",73732480
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41605,"Processed Crustaceans",3999789
4,"Foodstuffs",417,"Sugars and sugar confectionery",41701,"Raw Sugar",5284463
4,"Foodstuffs",417,"Sugars and sugar confectionery",41702,"Other Sugars",8433334
4,"Foodstuffs",417,"Sugars and sugar confectionery",41703,"Molasses",1746956
4,"Foodstuffs",417,"Sugars and sugar confectionery",41704,"Confectionery Sugar",30943127
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41801,"Cocoa Beans",219482
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41802,"Cocoa Shells",27.999999999999996
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41803,"Cocoa Paste",1139394
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41804,"Cocoa Butter",625909.0000000001
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41805,"Cocoa Powder",1662045
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41806,"Chocolate",32402597
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41901,"Malt Extract",37867417
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41902,"Pasta",5668962
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41903,"Tapioca",12576.999999999998
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41904,"Prepared Cereals",26125734
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41905,"Baked Goods",68057633
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42001,"Pickled Foods",3015833
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42002,"Processed Tomatoes",23124239
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42003,"Processed Mushrooms",4325779
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42004,"Other Frozen Vegetables",30288513
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42005,"Other Processed Vegetables",25803854
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42006,"Sugar Preserved Foods",272334
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42007,"Jams",5035114
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,"Other Processed Fruits and Nuts",26612702
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,"Fruit Juice",13443660
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",7462949
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",5714562.999999999
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",38584889
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",11410884
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",3841748
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",93694124
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42201,"Water",2489723
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42202,"Flavored Water",40700571
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42203,"Beer",14995291
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42204,"Wine",26041008
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42205,"Vermouth",2421310
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42206,"Other Fermented Beverages",420179
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42207,"Alcohol > 80% ABV",902604
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",23932948
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42209,"Vinegar",1253402
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42301,"Animal Meal and Pellets",3400120
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42302,"Bran",3572611
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42303,"Starch Residue",20846701.000000004
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42304,"Soybean Meal",30755662
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42305,"Ground Nut Meal",13407
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42306,"Other Vegetable Residues",53837
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42308,"Other Vegetable Residues and Waste",32506
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42309,"Animal Food",73788023
